{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415194687000L, 'id': 8932, 'name': 'macrossvsxzero'} 'mostUsedChampion': Thresh
{'profileIconId': 661, 'summonerLevel': 30, 'revisionDate': 1416918091000L, 'id': 178642, 'name': 'Yanos2'} 'mostUsedChampion': Taric
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1410721473000L, 'id': 26456, 'name': 'Shiftie'} 'mostUsedChampion': Pantheon
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1407703778000L, 'id': 16387, 'name': 'N0S3NS3'} 'mostUsedChampion': Pantheon
{'profileIconId': 502, 'summonerLevel': 30, 'revisionDate': 1414407754000L, 'id': 1392, 'name': 'Zoc'} 'mostUsedChampion': Pantheon
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1416815176000L, 'id': 86435, 'name': 'Contrariwise'} 'mostUsedChampion': Rammus
{'profileIconId': 533, 'summonerLevel': 30, 'revisionDate': 1416678472000L, 'id': 1442, 'name': 'klorinator'} 'mostUsedChampion': Rammus
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1416957309000L, 'id': 15311, 'name': 'BaronTobasco'} 'mostUsedChampion': Rammus
{'profileIconId': 619, 'summonerLevel': 30, 'revisionDate': 1416228308000L, 'id': 410915, 'name': 'Kaisersosa'} 'mostUsedChampion': Swain
{'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1416209119000L, 'id': 7990, 'name': 'Ag Snake'} 'mostUsedChampion': Swain
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416952972000L, 'id': 8831, 'name': 'FishCrazy'} 'mostUsedChampion': Swain
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416923726000L, 'id': 227731, 'name': 'Pow3rRanger'} 'mostUsedChampion': Thresh
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1404459816000L, 'id': 66307, 'name': 'Larc'} 'mostUsedChampion': Thresh
{'profileIconId': 538, 'summonerLevel': 30, 'revisionDate': 1415549913000L, 'id': 9508, 'name': 'Abevel'} 'mostUsedChampion': Thresh
