{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1409362901000L, 'id': 5160, 'name': 'MagicChicken'} 'mostUsedChampion': Khazix 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416990716000L, 'id': 5628, 'name': 'S1N1337'} 'mostUsedChampion': Khazix 
{'profileIconId': 537, 'summonerLevel': 30, 'revisionDate': 1417075347000L, 'id': 10697, 'name': 'thegreens'} 'mostUsedChampion': Khazix 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1405415249000L, 'id': 73974, 'name': 'Grimnos'} 'mostUsedChampion': Khazix 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1416923009000L, 'id': 8533, 'name': 'DunkinHOnuts'} 'mostUsedChampion': Khazix 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1415856029000L, 'id': 8013, 'name': 'Logi'} 'mostUsedChampion': Khazix 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1417059861000L, 'id': 17285, 'name': 'Dayvik'} 'mostUsedChampion': Khazix 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'}
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'}
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1417075385000L, 'id': 98812, 'name': 'Arcolus'} 'mostUsedChampion': Darius  'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1417109890000L, 'id': 83267, 'name': 'SomeDicc'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1415967055000L, 'id': 37818, 'name': 'Marmalade'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1412581916000L, 'id': 281127, 'name': 'PenileInsertion'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1417072536000L, 'id': 6121, 'name': 'Krom'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416922704000L, 'id': 6271, 'name': 'Asphalt'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1415722251000L, 'id': 22510, 'name': 'Lucky Loafers'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1417065889000L, 'id': 9729, 'name': 'Tridasta'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1416649043000L, 'id': 79219, 'name': 'Carthasis'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 4, 'summonerLevel': 30, 'revisionDate': 1416216982000L, 'id': 2232, 'name': 'mitchapalooza'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1394813575000L, 'id': 8693, 'name': 'Soggymuffins'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 534, 'summonerLevel': 30, 'revisionDate': 1417084996000L, 'id': 6707, 'name': 'Rokudan'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1416010273000L, 'id': 30151, 'name': 'Thayos'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 26, 'summonerLevel': 30, 'revisionDate': 1416912203000L, 'id': 3335, 'name': 'Effulgent'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 552, 'summonerLevel': 30, 'revisionDate': 1415716477000L, 'id': 8528, 'name': 'silvers1ayer'} 'mostUsedChampion': Khazix  'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 685, 'summonerLevel': 30, 'revisionDate': 1417055154000L, 'id': 22680, 'name': 'Prattze'} 'mostUsedChampion': Khazix  'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1393516082000L, 'id': 386726, 'name': 'kooshimKilla'} 'mostUsedChampion': Khazix  'mostUsedChampion': Darius  'mostUsedChampion': DrMundo 
{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1409362901000L, 'id': 5160, 'name': 'MagicChicken'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416990716000L, 'id': 5628, 'name': 'S1N1337'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 537, 'summonerLevel': 30, 'revisionDate': 1417075347000L, 'id': 10697, 'name': 'thegreens'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1405415249000L, 'id': 73974, 'name': 'Grimnos'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1416923009000L, 'id': 8533, 'name': 'DunkinHOnuts'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1415856029000L, 'id': 8013, 'name': 'Logi'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1417059861000L, 'id': 17285, 'name': 'Dayvik'} 'mostUsedChampion': Khazix  'mostUsedChampion': DrMundo  'mostUsedChampion': DrMundo 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1417075385000L, 'id': 98812, 'name': 'Arcolus'} 'mostUsedChampion': Darius  'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1417109890000L, 'id': 83267, 'name': 'SomeDicc'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1415967055000L, 'id': 37818, 'name': 'Marmalade'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1412581916000L, 'id': 281127, 'name': 'PenileInsertion'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1417072536000L, 'id': 6121, 'name': 'Krom'} 'mostUsedChampion': Darius  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416922704000L, 'id': 6271, 'name': 'Asphalt'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1415722251000L, 'id': 22510, 'name': 'Lucky Loafers'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1417065889000L, 'id': 9729, 'name': 'Tridasta'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1416649043000L, 'id': 79219, 'name': 'Carthasis'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 4, 'summonerLevel': 30, 'revisionDate': 1416216982000L, 'id': 2232, 'name': 'mitchapalooza'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1394813575000L, 'id': 8693, 'name': 'Soggymuffins'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 534, 'summonerLevel': 30, 'revisionDate': 1417084996000L, 'id': 6707, 'name': 'Rokudan'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1416010273000L, 'id': 30151, 'name': 'Thayos'} 'mostUsedChampion': Khazix  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
