{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1416987145000L, 'id': 9500, 'name': 'dansierra'} 'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 591, 'summonerLevel': 30, 'revisionDate': 1398255896000L, 'id': 2622, 'name': 'chillychill'} 'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416916673000L, 'id': 4812, 'name': 'Biz'} 'mostUsedChampion': Nautilus  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1416978927000L, 'id': 8770, 'name': 'Puff'} 'mostUsedChampion': Nautilus  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1416818401000L, 'id': 33214, 'name': 'NarKeLioN'} 'mostUsedChampion': Nautilus  'mostUsedChampion': Malphite  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 551, 'summonerLevel': 30, 'revisionDate': 1416649774000L, 'id': 198102, 'name': 'ScaryZombie'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 582, 'summonerLevel': 30, 'revisionDate': 1415523665000L, 'id': 159470, 'name': 'Jafrawr'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415885689000L, 'id': 3687, 'name': 'timmy166'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 37, 'summonerLevel': 30, 'revisionDate': 1399191498000L, 'id': 76240, 'name': 'Shimmra'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 741, 'summonerLevel': 30, 'revisionDate': 1416983966000L, 'id': 210442, 'name': 'Flipgigzz'} 'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': Leona 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1411148489000L, 'id': 538793, 'name': 'Artaxis'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 549, 'summonerLevel': 30, 'revisionDate': 1415607673000L, 'id': 80926, 'name': 'ZetaZ'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416997135000L, 'id': 9138, 'name': 'enbr'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 593, 'summonerLevel': 30, 'revisionDate': 1417046050000L, 'id': 546040, 'name': 'TheNightbearer'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 654, 'summonerLevel': 30, 'revisionDate': 1416984946000L, 'id': 7452, 'name': 'doormouse'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 545, 'summonerLevel': 30, 'revisionDate': 1390808245000L, 'id': 64618, 'name': 'Crimsonbeard'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 546, 'summonerLevel': 30, 'revisionDate': 1416969701000L, 'id': 7265, 'name': 'ozm0tik'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1417036277000L, 'id': 6767, 'name': 'Sargon'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 504, 'summonerLevel': 30, 'revisionDate': 1416980270000L, 'id': 80459, 'name': 'davin'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 710, 'summonerLevel': 30, 'revisionDate': 1415974076000L, 'id': 1225, 'name': 'Argyle'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416660601000L, 'id': 7882, 'name': 'Karsasmash'} 'mostUsedChampion': Gragas  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1416090407000L, 'id': 320039, 'name': 'drunkness'} 'mostUsedChampion': Corki  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1417029338000L, 'id': 1172, 'name': 'Le3t'} 'mostUsedChampion': Shen  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1416987145000L, 'id': 9500, 'name': 'dansierra'} 'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 591, 'summonerLevel': 30, 'revisionDate': 1398255896000L, 'id': 2622, 'name': 'chillychill'} 'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1416916673000L, 'id': 4812, 'name': 'Biz'} 'mostUsedChampion': Nautilus  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1416978927000L, 'id': 8770, 'name': 'Puff'} 'mostUsedChampion': Nautilus  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1416818401000L, 'id': 33214, 'name': 'NarKeLioN'} 'mostUsedChampion': Nautilus  'mostUsedChampion': Malphite  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 551, 'summonerLevel': 30, 'revisionDate': 1416649774000L, 'id': 198102, 'name': 'ScaryZombie'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 582, 'summonerLevel': 30, 'revisionDate': 1415523665000L, 'id': 159470, 'name': 'Jafrawr'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415885689000L, 'id': 3687, 'name': 'timmy166'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 37, 'summonerLevel': 30, 'revisionDate': 1399191498000L, 'id': 76240, 'name': 'Shimmra'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar 
{'profileIconId': 741, 'summonerLevel': 30, 'revisionDate': 1416983966000L, 'id': 210442, 'name': 'Flipgigzz'} 'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': Leona 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1411148489000L, 'id': 538793, 'name': 'Artaxis'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 549, 'summonerLevel': 30, 'revisionDate': 1415607673000L, 'id': 80926, 'name': 'ZetaZ'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416997135000L, 'id': 9138, 'name': 'enbr'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 593, 'summonerLevel': 30, 'revisionDate': 1417046050000L, 'id': 546040, 'name': 'TheNightbearer'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar 
{'profileIconId': 654, 'summonerLevel': 30, 'revisionDate': 1416984946000L, 'id': 7452, 'name': 'doormouse'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 545, 'summonerLevel': 30, 'revisionDate': 1390808245000L, 'id': 64618, 'name': 'Crimsonbeard'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1416987145000L, 'id': 9500, 'name': 'dansierra'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416711263000L, 'id': 153855, 'name': 'znac'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416899373000L, 'id': 411137, 'name': 'rukibah'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416808022000L, 'id': 96092, 'name': 'PHANT0MFACE'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416711263000L, 'id': 153855, 'name': 'znac'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416899373000L, 'id': 411137, 'name': 'rukibah'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416808022000L, 'id': 96092, 'name': 'PHANT0MFACE'} 'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': LeeSin  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 582, 'summonerLevel': 30, 'revisionDate': 1415523665000L, 'id': 159470, 'name': 'Jafrawr'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Varus 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415885689000L, 'id': 3687, 'name': 'timmy166'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Varus 
{'profileIconId': 37, 'summonerLevel': 30, 'revisionDate': 1399191498000L, 'id': 76240, 'name': 'Shimmra'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 741, 'summonerLevel': 30, 'revisionDate': 1416983966000L, 'id': 210442, 'name': 'Flipgigzz'} 'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Leona 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1411148489000L, 'id': 538793, 'name': 'Artaxis'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 549, 'summonerLevel': 30, 'revisionDate': 1415607673000L, 'id': 80926, 'name': 'ZetaZ'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416997135000L, 'id': 9138, 'name': 'enbr'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Lux  'mostUsedChampion': Rengar 
{'profileIconId': 593, 'summonerLevel': 30, 'revisionDate': 1417046050000L, 'id': 546040, 'name': 'TheNightbearer'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Varus  'mostUsedChampion': Rengar 
{'profileIconId': 582, 'summonerLevel': 30, 'revisionDate': 1415523665000L, 'id': 159470, 'name': 'Jafrawr'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Varus 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415885689000L, 'id': 3687, 'name': 'timmy166'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Varus 
{'profileIconId': 37, 'summonerLevel': 30, 'revisionDate': 1399191498000L, 'id': 76240, 'name': 'Shimmra'} 'mostUsedChampion': Kassadin  'mostUsedChampion': Kassadin  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 741, 'summonerLevel': 30, 'revisionDate': 1416983966000L, 'id': 210442, 'name': 'Flipgigzz'} 'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': Leona  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Leona 
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1411148489000L, 'id': 538793, 'name': 'Artaxis'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 549, 'summonerLevel': 30, 'revisionDate': 1415607673000L, 'id': 80926, 'name': 'ZetaZ'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Rengar 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416997135000L, 'id': 9138, 'name': 'enbr'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Lux  'mostUsedChampion': Rengar 
{'profileIconId': 593, 'summonerLevel': 30, 'revisionDate': 1417046050000L, 'id': 546040, 'name': 'TheNightbearer'} 'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Rengar  'mostUsedChampion': Varus  'mostUsedChampion': Rengar 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415016961000L, 'id': 4935, 'name': 'Autistic Jungler'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jinx 
{'profileIconId': 533, 'summonerLevel': 30, 'revisionDate': 1414666178000L, 'id': 7925, 'name': 'Berserk'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jinx 
{'profileIconId': 0, 'summonerLevel': 30, 'revisionDate': 1417046465000L, 'id': 8453, 'name': 'Chaz'} 'mostUsedChampion': Rengar  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Jinx 
{'profileIconId': 662, 'summonerLevel': 30, 'revisionDate': 1416736847000L, 'id': 1915, 'name': 'kamicaze5'} 'mostUsedChampion': Lucian  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Lucian 
{'profileIconId': 535, 'summonerLevel': 30, 'revisionDate': 1416056476000L, 'id': 58899, 'name': 'xmonk'} 'mostUsedChampion': Lucian  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Lucian 
{'profileIconId': 576, 'summonerLevel': 30, 'revisionDate': 1408776685000L, 'id': 79770, 'name': 'BurningNose'} 'mostUsedChampion': Fiora  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Fiora 
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1416965503000L, 'id': 7863, 'name': 'raekwonthechef'} 'mostUsedChampion': Pantheon  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Pantheon 
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416840472000L, 'id': 7696, 'name': 'Xanti'} 'mostUsedChampion': Pantheon  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Pantheon 
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1416508549000L, 'id': 405189, 'name': 'AznRose'} 'mostUsedChampion': Pantheon  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 12, 'summonerLevel': 30, 'revisionDate': 1415804689000L, 'id': 11055, 'name': 'Time'} 'mostUsedChampion': Pantheon  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1405847453000L, 'id': 210130, 'name': 'CDBEagle1'} 'mostUsedChampion': Pantheon  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
